query,expected_faq_id,split,substitutions
Quick question: what topic will i survey master of architecture post professional uoft?,18,train,subjects>topic study>survey
Could you tell me what topic i survey in master of architecture post professional uoft?,18,train,subjects>topic study>survey
what topic will i survey in master of architecture post professional at uoft? Thanks.,18,dev,subjects>topic study>survey
can you explain the structure of school and clinical child psychology at uoft? Any idea?,19,train,
Help needed: can you explain the structure of school and clinical child psychology at uoft?,19,train,
Could you tell me can you explain the structure of school clinical child psychology at uoft?,19,dev,
Help needed: what topic will i study in adult education and community development uoft?,20,train,subjects>topic
Help needed: what topic will i study in adult education and community development at uoft?,20,train,subjects>topic
what topic will i study adult education and community development at uoft?,20,dev,subjects>topic
Help needed: can explain structure of political science at uoft?,21,train,
Quick question: can you explain the structure of political science uoft?,21,train,
can you explain the structure of political science at uoft? Any idea?,21,dev,
Could you tell me what subjects i study in curriculum and pedagogy at uoft?,22,train,
Quick question: what subjects i study in curriculum and pedagogy uoft?,22,train,
what subjects will i study curriculum and pedagogy at uoft? Any idea?,22,dev,
Help needed: can you explain the structure immunology uoft?,23,train,
Could you tell me can explain the structure of immunology at uoft?,23,train,
"Hi, can you explain structure immunology at uoft?",23,dev,
what research chance exist in master of education in counselling psychology global mental health counselling psychology field dual degree programs at uoft?,24,train,opportunities>chance
"Hi, what research chance exist in master education in counselling psychology global mental health counselling psychology field dual degree programs at uoft?",24,train,opportunities>chance
what research chance exist in master education in counselling psychology global mental health counselling psychology field dual degree programs uoft? Any idea?,24,dev,opportunities>chance
what are the admission prerequisite master of applied science masc at uoft? Thanks.,25,train,requirements>prerequisite
what the admission prerequisite for master of applied science masc at uoft?,25,train,requirements>prerequisite
what are the admission prerequisite for master of applied science masc at uoft?,25,dev,requirements>prerequisite
what are the vocation prognosis master forest conservation alumna uoft? Thanks.,26,train,career>vocation prospects>prognosis graduates>alumna
what the vocation prognosis master of forest conservation alumnus uoft? Any idea?,26,train,career>vocation prospects>prognosis graduates>alumnus
Could you tell me what are the vocation prognosis for master of forest conservation alum from uoft?,26,dev,career>vocation prospects>prognosis graduates>alum
"Hi, what makes the global executive master business administration for healthcare the life sciences gemba hls plan uoft unequaled?",27,train,program>plan unique>unequaled
Could you tell me what makes the global executive master of business administration for healthcare and the life sciences gemba hls plan at uoft singular?,27,train,program>plan unique>singular
what makes global executive master of business administration for healthcare the life sciences gemba hls plan uoft singular? Any idea?,27,dev,program>plan unique>singular
can explain the structure of comparative literature uoft? Any idea?,28,train,
Help needed: can explain structure comparative literature at uoft?,28,train,
Could you tell me can you explain the structure of comparative literature at uoft?,28,dev,
Help needed: what can i do with a degree in mechanical engineering from uoft?,29,train,
"Hi, what can i a degree in mechanical engineering from uoft?",29,train,
what do with degree in mechanical engineering from uoft? Any idea?,29,dev,
Could you tell me can you explain structure health administration at uoft?,30,train,
"Hi, can you explain the structure of health administration at uoft?",30,train,
Help needed: can you explain structure health administration at uoft?,30,dev,
"Hi, describe the teaching curriculum at uoft?",31,train,
"Hi, describe the teaching curriculum uoft?",31,train,
Help needed: describe the teaching curriculum at uoft?,31,dev,
can you explain structure of drama theatre performance studies at uoft? Thanks.,32,train,
"Hi, can you explain structure drama theatre and performance studies at uoft?",32,train,
Could you tell me can you explain structure drama theatre and performance studies at uoft?,32,dev,
can you explain structure of child study education at uoft? Thanks.,33,train,
Help needed: can you explain the structure of child study and education at uoft?,33,train,
Could you tell me can you explain structure child study and education at uoft?,33,dev,
Quick question: what courses are provide in doctor of education in counselling psychology counselling psychotherapy field at uoft?,34,train,offered>provide
"Hi, what courses are provide in doctor education in counselling psychology counselling psychotherapy field at uoft?",34,train,offered>provide
Help needed: what courses are provide in doctor of education in counselling psychology counselling psychotherapy field at uoft?,34,dev,offered>provide
Could you tell me what courses provide in doctor of education in counselling psychology school psychology field at uoft?,35,train,offered>provide
Could you tell me what courses are provide in doctor of education counselling psychology school psychology field at uoft?,35,train,offered>provide
"Hi, what courses provide in doctor of education in counselling psychology school psychology field at uoft?",35,dev,offered>provide
can explain the structure of half time program uoft?,36,train,
Help needed: can you explain the structure of half time program at uoft?,36,train,
can you explain the structure of half time program uoft? Thanks.,36,dev,
where doctor education in counselling psychology school psychology field graduates from uoft typically work? Any idea?,37,train,
where do doctor education in counselling psychology school psychology field graduates from uoft typically work? Thanks.,37,train,
"Hi, where do doctor education in counselling psychology school psychology field graduates from uoft typically work?",37,dev,
"Hi, what subjects i study in spanish at uoft?",38,train,
Could you tell me what subjects will i study in spanish at uoft?,38,train,
Could you tell me what subjects study in spanish at uoft?,38,dev,
what makes counselling and clinical psychology field in clinical counselling psychology oise curriculum uoft unparalleled? Thanks.,39,train,program>curriculum unique>unparalleled
what makes the counselling and clinical psychology field in clinical and counselling psychology oise curriculum at uoft singular? Any idea?,39,train,program>curriculum unique>singular
Quick question: what makes the counselling clinical psychology field in clinical and counselling psychology oise curriculum at uoft singular?,39,dev,program>curriculum unique>singular
Could you tell me can you explain the structure one year mmpa at uoft?,40,train,
Quick question: can you explain the structure of one year mmpa at uoft?,40,train,
Help needed: can you explain the structure of one year mmpa at uoft?,40,dev,
Quick question: can explain the structure of anthropology at uoft?,41,train,
Quick question: can you explain the structure anthropology uoft?,41,train,
"Hi, can you explain the structure anthropology uoft?",41,dev,
what subjects will study in bachelor of arts visual studies uoft? Thanks.,42,train,
Help needed: what subjects i study in bachelor of arts visual studies at uoft?,42,train,
Could you tell me what subjects will study in bachelor of arts visual studies at uoft?,42,dev,
what topic i study in electrical and computer engineering uoft? Thanks.,43,train,subjects>topic
what topic will study in electrical and computer engineering uoft?,43,train,subjects>topic
what topic will i study in electrical and computer engineering at uoft?,43,dev,subjects>topic
"Hi, what topic will i study in master of forest conservation uoft?",44,train,subjects>topic
what topic study in master of forest conservation uoft? Thanks.,44,train,subjects>topic
what topic will i study in master of forest conservation at uoft? Thanks.,44,dev,subjects>topic
what topic i study political science at uoft? Thanks.,45,train,subjects>topic
"Hi, what topic i study in political science uoft?",45,train,subjects>topic
Help needed: what topic will i study in political science at uoft?,45,dev,subjects>topic
can you explain the structure of higher education at uoft? Thanks.,46,train,
Quick question: can you explain the structure of higher education at uoft?,46,train,
can explain the structure higher education at uoft?,46,dev,
what sort of research come germanic literature culture and theory at uoft? Thanks.,47,train,kind>sort done>come
Could you tell me what sort research come in germanic literature culture and theory uoft?,47,train,kind>sort done>come
"Hi, what sort of research come in germanic literature culture theory at uoft?",47,dev,kind>sort done>come
"Hi, can you explain structure of ecology and evolutionary biology uoft?",48,train,
can you explain the structure of ecology and evolutionary biology at uoft? Any idea?,48,train,
can explain the structure of ecology evolutionary biology at uoft? Thanks.,48,dev,
what research chance exist doctor of philosophy in school clinical child psychology uoft?,49,train,opportunities>chance
Quick question: what research chance exist in doctor of philosophy in school clinical child psychology uoft?,49,train,opportunities>chance
what research chance exist in doctor of philosophy in school clinical child psychology at uoft? Thanks.,49,dev,opportunities>chance
what are the vocation prognosis for biotechnology alumnus from uoft? Thanks.,50,train,career>vocation prospects>prognosis graduates>alumnus
Could you tell me what are the vocation prognosis for biotechnology alumnus uoft?,50,train,career>vocation prospects>prognosis graduates>alumnus
what are the vocation prognosis for biotechnology alumnus from uoft? Any idea?,50,dev,career>vocation prospects>prognosis graduates>alumnus
Quick question: can you explain the structure of medical science uoft?,51,train,
Quick question: can you explain structure of medical science at uoft?,51,train,
"Hi, can explain the structure of medical science at uoft?",51,dev,
Could you tell me what sort of research is come in child study and education at uoft?,52,train,kind>sort done>come
Quick question: what sort of research is come in child study education at uoft?,52,train,kind>sort done>come
what sort of research come child study and education at uoft? Any idea?,52,dev,kind>sort done>come
Help needed: what jobs can i bring after phd in architecture landscape and design at uoft?,53,train,get>bring
what jobs can i bring phd in architecture landscape and design at uoft?,53,train,get>bring
what jobs can i find after phd in architecture landscape and design at uoft?,53,dev,get>find
what sort research is come in master urban design post professional at uoft? Any idea?,54,train,kind>sort done>come
what sort of research is come in master urban design post professional uoft? Thanks.,54,train,kind>sort done>come
what sort of research is come in master urban design post professional at uoft? Thanks.,54,dev,kind>sort done>come
"Hi, what topic will i survey in canadian law in a global context at uoft?",55,train,subjects>topic study>survey
what topic i survey in canadian law in global context uoft? Any idea?,55,train,subjects>topic study>survey
Could you tell me what topic will i survey in canadian law in global context uoft?,55,dev,subjects>topic study>survey
Could you tell me what topic will survey in master of urban design post professional at uoft?,56,train,subjects>topic study>survey
what topic will i survey in master of urban design post professional at uoft? Any idea?,56,train,subjects>topic study>survey
Could you tell me what topic i survey master of urban design post professional at uoft?,56,dev,subjects>topic study>survey
Quick question: where master of visual studies in studio art alumna from uoft typically work?,57,train,graduates>alumna
Quick question: where do master of visual studies studio art alumnus from uoft typically work?,57,train,graduates>alumnus
Could you tell me where master of visual studies in studio art alum from uoft typically work?,57,dev,graduates>alum
Could you tell me can you explain the structure of molecular genetics at uoft?,58,train,
"Hi, can explain the structure of molecular genetics at uoft?",58,train,
Help needed: can explain structure of molecular genetics at uoft?,58,dev,
Help needed: can you explain the structure of financial economics at uoft?,59,train,
can you explain the structure of financial economics uoft? Thanks.,59,train,
"Hi, can you explain structure of financial economics at uoft?",59,dev,
can explain structure of master of urban design post professional at uoft?,60,train,
can you explain structure of master urban design post professional at uoft? Any idea?,60,train,
can you explain the structure of master of urban design post professional at uoft? Any idea?,60,dev,
Quick question: what subjects will i study in anthropology uoft?,61,train,
Quick question: what subjects will i study in anthropology at uoft?,61,train,
what subjects will i study anthropology at uoft?,61,dev,
what topic i study in biotechnology at uoft?,62,train,subjects>topic
Quick question: what topic will i study in biotechnology at uoft?,62,train,subjects>topic
Help needed: what topic will i study in biotechnology uoft?,62,dev,subjects>topic
Could you tell me what can i do a degree in global professional law from uoft?,63,train,
"Hi, what can do with a degree global professional law uoft?",63,train,
Quick question: what do a degree in global professional law from uoft?,63,dev,
what subjects will i study in ecology and evolutionary biology uoft? Any idea?,64,train,
what subjects will i study in ecology and evolutionary biology at uoft? Thanks.,64,train,
what subjects will i study in ecology and evolutionary biology uoft? Thanks.,64,dev,
"Hi, can explain the structure of english at uoft?",65,train,
"Hi, can you explain structure of english at uoft?",65,train,
can you explain the structure of english at uoft? Thanks.,65,dev,
what are the requirement for global executive master business administration for healthcare and life sciences gemba hls at uoft?,66,train,prerequisites>requirement
Could you tell me what are the requirement for global executive master business administration for healthcare and the life sciences gemba hls uoft?,66,train,prerequisites>requirement
Help needed: what requirement global executive master of business administration healthcare and the life sciences gemba hls at uoft?,66,dev,prerequisites>requirement
"Hi, what sort of research is come in electrical and computer engineering at uoft?",67,train,kind>sort done>come
what sort of research come electrical and computer engineering at uoft? Any idea?,67,train,kind>sort done>come
what sort of research come in electrical and computer engineering at uoft?,67,dev,kind>sort done>come
Could you tell me what the vocation prognosis for master of urban design post professional alumnus from uoft?,68,train,career>vocation prospects>prognosis graduates>alumnus
"Hi, what are the vocation prognosis for master of urban design post professional alumnus uoft?",68,train,career>vocation prospects>prognosis graduates>alumnus
what vocation prognosis master urban design post professional alumnus from uoft? Any idea?,68,dev,career>vocation prospects>prognosis graduates>alumnus
Help needed: what are the vocation prognosis sure summer undergraduate research in engineering alumnus mcgill?,69,train,career>vocation prospects>prognosis graduates>alumnus
Could you tell me what are the vocation prognosis for sure summer undergraduate research in engineering alumnus from mcgill?,69,train,career>vocation prospects>prognosis graduates>alumnus
Quick question: what are the vocation prognosis sure summer undergraduate research in engineering alumnus from mcgill?,69,dev,career>vocation prospects>prognosis graduates>alumnus
Quick question: what can with a degree in aerospace science engineering from uoft?,70,train,
Quick question: what can i degree aerospace science and engineering from uoft?,70,train,
what can do a degree in aerospace science engineering from uoft?,70,dev,
Help needed: can you explain the structure finance at uoft?,71,train,
can you explain the structure of finance uoft? Thanks.,71,train,
can you explain the structure of finance at uoft? Any idea?,71,dev,
Help needed: describe the one year mmpa program uoft?,72,train,curriculum>program
Quick question: describe the one year mmpa program at uoft?,72,train,curriculum>program
"Hi, describe the one year mmpa program uoft?",72,dev,curriculum>program
Quick question: can explain the structure of biotechnology uoft?,73,train,
can you explain the structure biotechnology at uoft? Thanks.,73,train,
Help needed: can you explain the structure of biotechnology uoft?,73,dev,
what are fundamental boast of geography at uoft? Thanks.,74,train,key>fundamental features>boast
what are fundamental boast geography at uoft?,74,train,key>fundamental features>boast
Could you tell me what the important boast of geography uoft?,74,dev,key>important features>boast
can explain the structure of master applied science masc uoft?,75,train,
Quick question: can you explain the structure master of applied science masc at uoft?,75,train,
Help needed: can you explain structure of master of applied science masc at uoft?,75,dev,
can you explain structure of developmental psychology and education uoft?,76,train,
can explain the structure developmental psychology and education at uoft? Thanks.,76,train,
can explain structure of developmental psychology and education uoft?,76,dev,
where master of education developmental psychology education graduates from uoft typically work? Any idea?,77,train,
Quick question: where master of education in developmental psychology education graduates from uoft typically work?,77,train,
Quick question: where do master of education in developmental psychology education graduates from uoft typically work?,77,dev,
can you explain the structure geography at uoft? Thanks.,78,train,
Quick question: can explain the structure of geography uoft?,78,train,
can you explain the structure of geography at uoft? Any idea?,78,dev,
"Hi, can you explain the structure of sure summer undergraduate research in engineering mcgill?",79,train,
can you explain the structure of sure summer undergraduate research in engineering at mcgill? Thanks.,79,train,
can you explain the structure sure summer undergraduate research in engineering at mcgill? Thanks.,79,dev,
Help needed: what topic i survey in dalla lana school of public health at uoft?,80,train,subjects>topic study>survey
Could you tell me what topic will survey in dalla lana school of public health uoft?,80,train,subjects>topic study>survey
what topic will i survey in dalla lana school of public health at uoft? Any idea?,80,dev,subjects>topic study>survey
Could you tell me what topic will survey in social justice education uoft?,81,train,subjects>topic study>survey
what topic will i survey in social justice education at uoft? Any idea?,81,train,subjects>topic study>survey
Quick question: what topic survey in social justice education at uoft?,81,dev,subjects>topic study>survey
Could you tell me can you explain structure of master of science in forestry uoft?,82,train,
"Hi, can you explain the structure of master science in forestry at uoft?",82,train,
"Hi, can explain the structure of master science in forestry at uoft?",82,dev,
Could you tell me can explain the structure of counselling clinical psychology at utsc at uoft?,83,train,
can you explain the structure of counselling clinical psychology utsc at uoft? Any idea?,83,train,
Could you tell me can you explain the structure of counselling clinical psychology utsc at uoft?,83,dev,
Help needed: what jobs can i bring canadian law in a global context at uoft?,84,train,get>bring
Help needed: what jobs can make after canadian law in a global context at uoft?,84,train,get>make
Help needed: what jobs can i bring canadian law a global context at uoft?,84,dev,get>bring
Help needed: what can do with a degree in physical therapy uoft?,85,train,
what can i do degree physical therapy from uoft?,85,train,
what can do with a degree in physical therapy uoft? Any idea?,85,dev,
what topic will i report public policy uoft?,86,train,subjects>topic study>report
what topic will i report in public policy at uoft?,86,train,subjects>topic study>report
Help needed: what topic will i survey in public policy at uoft?,86,dev,subjects>topic study>survey
what are admission demand counselling psychology uoft? Thanks.,87,train,requirements>demand
Help needed: what are the admission prerequisite for counselling psychology at uoft?,87,train,requirements>prerequisite
Could you tell me what are the admission demand counselling psychology at uoft?,87,dev,requirements>demand
Could you tell me what can i with a degree in art history uoft?,88,train,
what can i do with degree in art history from uoft?,88,train,
what can i with degree in art history from uoft? Any idea?,88,dev,
"Hi, what can i do with a degree financial economics uoft?",89,train,
"Hi, what can i do with a degree in financial economics from uoft?",89,train,
Help needed: what i do a degree in financial economics from uoft?,89,dev,
Quick question: what can with a degree health administration uoft?,90,train,
what i do with a degree health administration from uoft? Thanks.,90,train,
what can i do with degree in health administration from uoft? Thanks.,90,dev,
Quick question: can you explain the structure museum studies uoft?,91,train,
"Hi, can you explain the structure museum studies at uoft?",91,train,
"Hi, can you explain the structure of museum studies at uoft?",91,dev,
"Hi, what are vocation prognosis for school and clinical child psychology graduates uoft?",92,train,career>vocation prospects>prognosis
Help needed: what are the vocation prognosis for school and clinical child psychology graduates from uoft?,92,train,career>vocation prospects>prognosis
Help needed: what vocation prognosis for school clinical child psychology graduates from uoft?,92,dev,career>vocation prospects>prognosis
"Hi, what are the vocation prognosis for speech language pathology practitioner graduates uoft?",93,train,career>vocation prospects>prognosis
what vocation prognosis for speech language pathology practitioner graduates from uoft?,93,train,career>vocation prospects>prognosis
Could you tell me what vocation prognosis for speech language pathology practitioner graduates from uoft?,93,dev,career>vocation prospects>prognosis
what are the vocation prognosis social work graduates from uoft?,94,train,career>vocation prospects>prognosis
what are the vocation prognosis for social work graduates from uoft?,94,train,career>vocation prospects>prognosis
Quick question: what are the vocation prognosis social work graduates from uoft?,94,dev,career>vocation prospects>prognosis
Help needed: how can i implement to postdoctoral studies in school architecture at mcgill?,95,train,apply>implement
how implement to postdoctoral studies the school of architecture mcgill?,95,train,apply>implement
Quick question: how can implement postdoctoral studies in the school of architecture mcgill?,95,dev,apply>implement
can explain the structure global affairs at uoft?,96,train,
can you explain the structure of global affairs uoft?,96,train,
can explain structure of global affairs uoft? Any idea?,96,dev,
what subjects will i study in germanic literature culture and theory at uoft? Any idea?,97,train,
Quick question: what subjects i study in germanic literature culture and theory at uoft?,97,train,
what subjects i study germanic literature culture and theory uoft? Any idea?,97,dev,
what can i do with a degree in executive education from uoft? Any idea?,98,train,
Quick question: what can i do a degree executive education from uoft?,98,train,
what can i a degree in executive education from uoft? Any idea?,98,dev,
Help needed: can you explain structure of occupational therapy at uoft?,99,train,
Quick question: can you explain the structure occupational therapy uoft?,99,train,
can explain structure occupational therapy at uoft?,99,dev,
Help needed: can you explain the structure genetic counselling at uoft?,100,train,
Could you tell me can explain the structure genetic counselling at uoft?,100,train,
"Hi, can you explain the structure of genetic counselling at uoft?",100,dev,
Quick question: what subjects will study in master of applied science masc uoft?,101,train,
what subjects will i study in master of applied science masc uoft?,101,train,
Quick question: what subjects will i study in master of applied science masc at uoft?,101,dev,
Could you tell me can you explain structure urban innovation at uoft?,102,train,
can explain the structure urban innovation at uoft? Any idea?,102,train,
can explain the structure of urban innovation at uoft? Any idea?,102,dev,
Could you tell me what subjects will i study in european eurasian studies at uoft?,103,train,
Quick question: what subjects will i study in european and eurasian studies uoft?,103,train,
what subjects will study in european and eurasian studies at uoft?,103,dev,
Could you tell me what i do with a degree industrial engineering undergraduate program from uoft?,104,train,
Quick question: what can i do with degree in industrial engineering undergraduate program uoft?,104,train,
Help needed: what can do a degree in industrial engineering undergraduate program uoft?,104,dev,
Help needed: can you explain the structure of executive education at uoft?,105,train,
can you explain the structure of executive education at uoft? Thanks.,105,train,
Quick question: can explain the structure of executive education at uoft?,105,dev,
Could you tell me can you explain the structure social justice education at uoft?,106,train,
can you explain the structure of social justice education at uoft? Any idea?,106,train,
can you explain structure of social justice education at uoft? Thanks.,106,dev,
Quick question: what sort research is come in european and eurasian studies at uoft?,107,train,kind>sort done>come
Help needed: what sort research is come in european and eurasian studies uoft?,107,train,kind>sort done>come
Could you tell me what sort of research is come in european and eurasian studies uoft?,107,dev,kind>sort done>come
"Hi, describe the health administration program at uoft?",108,train,curriculum>program
describe the health administration program at uoft? Thanks.,108,train,curriculum>program
describe the health administration program at uoft? Any idea?,108,dev,curriculum>program
Help needed: what makes the master business administration extended full time mba curriculum at uoft singular?,109,train,program>curriculum unique>singular
Could you tell me what makes the master business administration extended full time mba curriculum at uoft unparalleled?,109,train,program>curriculum unique>unparalleled
what makes the master business administration extended full time mba curriculum at uoft singular? Any idea?,109,dev,program>curriculum unique>singular
Quick question: what sort of research is come in english uoft?,110,train,kind>sort done>come
Could you tell me what sort of research is come in english uoft?,110,train,kind>sort done>come
"Hi, what sort of research is come in english at uoft?",110,dev,kind>sort done>come
can you explain structure of music at uoft?,111,train,
can you explain the structure music uoft?,111,train,
can you explain the structure of music at uoft? Thanks.,111,dev,
what sort research done in teaching at uoft? Thanks.,112,train,kind>sort
Quick question: what sort of research is done in teaching at uoft?,112,train,kind>sort
what sort of research is done in teaching uoft? Any idea?,112,dev,kind>sort
Quick question: where master of business administration extended full time mba alumnus uoft typically work?,113,train,graduates>alumnus
Could you tell me where master of business administration extended full time mba alumnus uoft typically work?,113,train,graduates>alumnus
where do master of business administration extended full time mba alumnus from uoft typically work? Thanks.,113,dev,graduates>alumnus
Quick question: what sort of research is come in anthropology uoft?,114,train,kind>sort done>come
Quick question: what sort of research come in anthropology at uoft?,114,train,kind>sort done>come
what sort of research is come in anthropology at uoft? Any idea?,114,dev,kind>sort done>come
Could you tell me what topic will study in buddy program at mcgill?,115,train,subjects>topic
what topic will i study in buddy program at mcgill?,115,train,subjects>topic
Could you tell me what topic i study buddy program at mcgill?,115,dev,subjects>topic
"Hi, can you explain the structure of physics uoft?",116,train,
"Hi, can you explain the structure of physics at uoft?",116,train,
can you explain the structure of physics at uoft? Thanks.,116,dev,
what can i with degree in management and professional accounting uoft?,117,train,
Help needed: what can i do degree in management and professional accounting from uoft?,117,train,
Quick question: what can with a degree management and professional accounting from uoft?,117,dev,
what subjects study in language literacies education at uoft? Thanks.,118,train,
Help needed: what subjects will i study in language literacies education at uoft?,118,train,
Could you tell me what subjects will i study in language and literacies education at uoft?,118,dev,
Help needed: what sort of research is come in master landscape architecture at uoft?,119,train,kind>sort done>come
what sort of research is come in master landscape architecture at uoft? Thanks.,119,train,kind>sort done>come
Quick question: what sort of research is come in master of landscape architecture uoft?,119,dev,kind>sort done>come
can you explain structure mineral engineering undergraduate program at uoft? Any idea?,120,train,
can you explain the structure of mineral engineering undergraduate program uoft? Any idea?,120,train,
Help needed: can explain structure of mineral engineering undergraduate program at uoft?,120,dev,
"Hi, what sort of research come in master of science in forestry at uoft?",121,train,kind>sort done>come
what sort of research come in master of science forestry at uoft? Any idea?,121,train,kind>sort done>come
Help needed: what sort of research is come in master of science in forestry at uoft?,121,dev,kind>sort done>come
what topic will report in educational leadership and policy at uoft?,122,train,subjects>topic study>report
what topic will i survey in educational leadership and policy at uoft?,122,train,subjects>topic study>survey
Could you tell me what topic will i report in educational leadership and policy at uoft?,122,dev,subjects>topic study>report
Quick question: what makes the slavic and east european languages and cultures plan at uoft unparalleled?,123,train,program>plan unique>unparalleled
what makes slavic and east european languages cultures curriculum at uoft unusual?,123,train,program>curriculum unique>unusual
"Hi, what makes the slavic and east european languages and cultures plan at uoft unusual?",123,dev,program>plan unique>unusual
"Hi, can you explain the structure buddy program at mcgill?",124,train,
Could you tell me can explain the structure of buddy program at mcgill?,124,train,
Help needed: can you explain the structure of buddy program at mcgill?,124,dev,
Quick question: what topic will i survey social work at uoft?,125,train,subjects>topic study>survey
what topic will i survey social work at uoft?,125,train,subjects>topic study>survey
what topic will i survey in social work at uoft? Any idea?,125,dev,subjects>topic study>survey
where do counselling and clinical psychology field clinical psychology utsc alumna uoft typically work? Any idea?,126,train,graduates>alumna
Could you tell me where do counselling clinical psychology field in clinical psychology utsc alumna uoft typically work?,126,train,graduates>alumna
"Hi, where do counselling and clinical psychology field in clinical psychology utsc alumna from uoft typically work?",126,dev,graduates>alumna
"Hi, what sort of research is come in ecology and evolutionary biology at uoft?",127,train,kind>sort done>come
Could you tell me what sort research come in ecology evolutionary biology at uoft?,127,train,kind>sort done>come
"Hi, what sort of research is come ecology and evolutionary biology uoft?",127,dev,kind>sort done>come
Help needed: what are the vocation prognosis for medical science graduates from uoft?,128,train,career>vocation prospects>prognosis
Help needed: what are the vocation prognosis for medical science graduates uoft?,128,train,career>vocation prospects>prognosis
what are vocation prognosis medical science graduates uoft? Thanks.,128,dev,career>vocation prospects>prognosis
Quick question: what research chance exist in counselling and clinical psychology field in clinical and counselling psychology oise at uoft?,129,train,opportunities>chance
Help needed: what research chance exist in counselling clinical psychology field clinical counselling psychology oise at uoft?,129,train,opportunities>chance
Could you tell me what research chance exist in counselling and clinical psychology field in clinical counselling psychology oise at uoft?,129,dev,opportunities>chance
Quick question: what i do a degree in innovation law and technology uoft?,130,train,
"Hi, what can i with a degree in innovation law technology from uoft?",130,train,
Help needed: what do with degree in innovation law and technology from uoft?,130,dev,
Quick question: what jobs i find after counselling clinical psychology at utsc at uoft?,131,train,get>find
what jobs can i make after counselling clinical psychology at utsc at uoft?,131,train,get>make
Quick question: what jobs can find counselling clinical psychology at utsc at uoft?,131,dev,get>find
what topic will study in drama theatre and performance studies at uoft?,132,train,subjects>topic
